study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test_routine.started,text_2.started,textbox.started,text_3.started,mouse.started,test_routine.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
mouse,,,,0,0,0,8,,,,,0.0280041,,0.0073233,0.0280041,0.0280041,2.5573862,3.381481481,2.5294851,,,,,,,,,,,,,,,953895,1,2024-11-07_23h47.02.163,word priming experiment,2024.1.5,None,2024-11-07 23h47.20.564627 +0530
laptop,,,,0,1,1,5,,,,,2.5715019,,2.5577101,2.5715019,2.5715019,3.189677,3.703703704,0.6112246,,,,,,,,,,,,,,,953895,1,2024-11-07_23h47.02.163,word priming experiment,2024.1.5,None,2024-11-07 23h47.20.564627 +0530
bottle,,,,0,2,2,17,,,,,3.2044574,,3.1899011,3.2044574,3.2044574,3.7898885,3.074074074,0.5811165,,,,,,,,,,,,,,,953895,1,2024-11-07_23h47.02.163,word priming experiment,2024.1.5,None,2024-11-07 23h47.20.564627 +0530
phone,,,,0,3,3,2,,,,,3.8040052,,3.7900671,3.8040052,3.8040052,4.3896502,2.485185185,0.5793691,,,,,,,,,,,,,,,953895,1,2024-11-07_23h47.02.163,word priming experiment,2024.1.5,None,2024-11-07 23h47.20.564627 +0530
marble,,,,0,4,4,3,,,,,4.404073,,4.3898372,4.404073,4.404073,5.0231662,1.8,0.6127485,,,,,,,,,,,,,,,953895,1,2024-11-07_23h47.02.163,word priming experiment,2024.1.5,None,2024-11-07 23h47.20.564627 +0530
Tshirt,,,,0,5,5,7,,,,,5.0372417,,5.0233565,5.0372417,5.0372417,5.4417243,1.8,0.396982,,,,,,,,,,,,,,,953895,1,2024-11-07_23h47.02.163,word priming experiment,2024.1.5,None,2024-11-07 23h47.20.564627 +0530
chart,,,,0,6,6,6,,,,,5.4560307,,5.4419912,5.4560307,5.4560307,6.2399593,2.888888889,0.7775593,,,,,,,,,,,,,,,953895,1,2024-11-07_23h47.02.163,word priming experiment,2024.1.5,None,2024-11-07 23h47.20.564627 +0530
camera,,,,0,7,7,18,,,,,6.2537564,,6.240195,6.2537564,6.2537564,6.8058055,3.377777778,0.5460401,,,,,,,,,,,,,,,953895,1,2024-11-07_23h47.02.163,word priming experiment,2024.1.5,None,2024-11-07 23h47.20.564627 +0530
case,,,,0,8,8,10,,,,,6.8205884,,6.8059945,6.8205884,6.8205884,7.5401727,2.637037037,0.7150952,,,,,,,,,,,,,,,953895,1,2024-11-07_23h47.02.163,word priming experiment,2024.1.5,None,2024-11-07 23h47.20.564627 +0530
cushion,,,,0,9,9,1,,,,,7.5536279,,7.540442,7.5536279,7.5536279,8.1563692,1.962962963,0.5958229,,,,,,,,,,,,,,,953895,1,2024-11-07_23h47.02.163,word priming experiment,2024.1.5,None,2024-11-07 23h47.20.564627 +0530
